# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
560 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 6), (2, 6), (3, 7), (3, 7), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6)]
575 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
577 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6)]
580 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
589 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 6), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
609 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 5), (3, 7), (3, 7), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6)]
624 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 7), (3, 6), (3, 7), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6)]
628 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 7), (3, 5), (3, 7), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
639 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 6), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6)]
665 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (3, 7), (3, 7), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
710 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
711 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 6), (4, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
712 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 6), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7)]
713 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 6), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 7)]
714 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 5), (4, 5), (4, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
715 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 5), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7)]
716 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 5), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (6, 7)]
717 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6), (5, 7)]
718 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 7), (3, 4), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6), (6, 7)]
719 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 6), (3, 7), (4, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
720 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 6), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7)]
721 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 6), (3, 7), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 7)]
733 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 5), (3, 7), (4, 5), (4, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
734 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 5), (3, 7), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7)]
735 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 5), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (6, 7)]
747 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 4), (3, 7), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6), (5, 7)]
748 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 3), (2, 4), (3, 7), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6), (6, 7)]
